id,education_level,stream_or_subject_interest,recommended_degree_or_course,career_field,entry_level_job,mid_level_job,senior_level_job,key_skills_required,recommended_soft_skills,typical_university_subjects,certifications_or_extra_training,industry_growth_in_sri_lanka,global_demand_level,average_starting_salary_lkr,future_salary_range_lkr,remote_work_possibility,freelance_opportunity,automation_risk,job_description
537,Diploma Holder,Background in Cybersecurity,BSc Cyber Security,Information Security,Junior Penetration Tester,Penetration Tester,Chief Information Security Officer (CISO),Network Security|Ethical Hacking|Linux,Perseverance|Analytical Thinking|Ethics,Digital Forensics|Cryptography|Malware Analysis,CISSP|CISM,Very High,Very High,210000,240000-900000,Yes,High,Low,Protect computer systems and networks from cyber attacks and unauthorized access.
538,Diploma Holder,Background in Design & Multimedia,BA Graphic Design / Diploma in Multimedia,Design,UI/UX Intern,Art Director,Lead Product Designer,Photoshop|Typography|Adobe Illustrator,Time Management|Creativity|Attention to Detail,Digital Art|Visual Communication|User Experience,Adobe Certified Professional|Google UX Design,High,High,110000,140000-550000,Yes,High,High,"Create visual concepts to communicate ideas that inspire, inform, and captivate consumers."
539,A/L Completed,Arts Stream - Logic/Media focus,BA Graphic Design / Diploma in Multimedia,Design,Visual Designer,Graphic Designer,Creative Director,Typography|Photoshop|Adobe Illustrator,Creativity|Time Management|Attention to Detail,User Experience|Design Principles|Digital Art,Adobe Certified Professional|Google UX Design,High,High,100000,130000-380000,Yes,High,High,"Create visual concepts to communicate ideas that inspire, inform, and captivate consumers."
540,A/L Completed,Biological Science Stream - Biology focus,BA/BSc Psychology,Psychology,Counseling Trainee,Organizational Psychologist,Chief HR Officer,Psychological Assessment|Therapy Techniques (CBT)|Research Methodology,Empathy|Confidentiality|Active Listening,Abnormal Psychology|Counseling|Developmental Psychology,Clinical Psychology Masters|Counseling Diploma,Medium,High,75000,105000-430000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
541,Graduate,Background in Medicine,MBBS Medicine,Healthcare - Medical,Medical Intern,Registrar,Consultant Specialist,Medical Procedures|Diagnosis|Pharmacology,Communication|Ethics|Empathy,Physiology|Surgery|Anatomy,USMLE|MRCP,Very High,Very High,215000,245000-710000,No,Low,Low,"Diagnose and treat illnesses, injuries, and health conditions in patients."
542,Undergraduate,Background in Human Resource Management,BSc Human Resource Management,Human Resources,Recruitment Trainee,Talent Acquisition Specialist,HR Director,Payroll Management|Recruitment|Labor Law Knowledge,Empathy|Communication|Negotiation,Compensation|Performance Management|Organizational Behavior,PHR|SHRM-CP,Medium,Medium,75000,105000-460000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
543,Diploma Holder,Background in IT / Programming,BSc Computer Science,Software Engineering,Junior Software Developer,Full Stack Developer,Tech Lead,Algorithms|Problem Solving|Git,Communication|Time Management|Critical Thinking,Operating Systems|Math for CS|Software Patterns,Azure Fundamentals|Scrum Master,Very High,Very High,140000,170000-770000,Yes,High,Medium,"Design, build, and maintain software applications and systems for various platforms."
544,O/L Completed,Agriculture Interest,BSc Agriculture,Agriculture & Agri-Business,Field Officer,Plantation Manager,Senior Agronomist,"Soil Science|Agri-Tech (IoT, Drones)|Pest Control",Physical Endurance|Team Management|Problem Solving,Crop Science|Soil Science|Plant Biotechnology,GAP Certification|Pesticide Application License,Medium,Low,85000,115000-370000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
545,Graduate,Background in Education & Teaching,BA/BSc / BEd Education,Education,Tutor,Instructor,Professor,Lesson Planning|Student Assessment|Curriculum Development,Patience|Public Speaking|Mentorship,Subject-Specific Focus|Teaching Methodology|Curriculum Design,Postgraduate Diploma in Education (PGDE)|TEFL/TESOL,Medium,High,60000,90000-160000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
546,A/L Completed,Biological Science Stream - Biology focus,MBBS Medicine,Healthcare - Medical,Junior Doctor,Medical Officer,Chief Medical Officer,Medical Procedures|Diagnosis|Patient Care,Decision Making Under Pressure|Ethics|Empathy,Anatomy|Pathology|Pediatrics,MD/MS (Sri Lanka)|USMLE,Very High,Very High,155000,185000-1690000,No,Low,Low,"Diagnose and treat illnesses, injuries, and health conditions in patients."
547,Diploma Holder,Background in Data Analysis & AI,BSc Data Science,Data Science,Data Analyst,Data Scientist,Chief Data Officer,Python|Data Viz|Statistics,Curiosity|Presentation|Business Acumen,Big Data|Probability|Deep Learning,IBM Data Science|Google Data Analytics,High,Very High,150000,180000-410000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
548,Undergraduate,Background in Education & Teaching,BA/BSc / BEd Education,Education,Trainee Teacher,Teacher,Principal,Educational Technology|Student Assessment|Lesson Planning,Empathy|Patience|Public Speaking,Educational Psychology|Curriculum Design|Teaching Methodology,TEFL/TESOL|Postgraduate Diploma in Education (PGDE),Medium,High,60000,90000-370000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
549,A/L Completed,Arts Stream - Languages focus,BSc Data Science,Data Science,BI Analyst,Data Engineer,AI Research Scientist,Machine Learning|Statistics|SQL,Presentation|Analytical Thinking|Curiosity,Big Data|Probability|Deep Learning,IBM Data Science|AWS Machine Learning,High,Very High,155000,185000-690000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
550,Career Switcher,Human Resource Management Interest,BSc Human Resource Management,Human Resources,Recruitment Trainee,HR Manager,HR Director,Payroll Management|Recruitment|Labor Law Knowledge,Communication|Conflict Resolution|Empathy,Compensation|Labor Law|Performance Management,SHRM-CP|PHR,Medium,Medium,65000,95000-410000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
551,Career Switcher,Architecture & Built Environment Interest,BArch Architecture,Architecture,Junior Draftsman,Project Architect,Principal Architect,AutoCAD|Revit|3D Rendering,Visualization|Attention to Detail|Communication,History of Architecture|Building Materials|Structural Design,LEED Green Associate|Chartered Architect (AIA),Medium,Medium,80000,110000-260000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
552,Career Switcher,Design & Multimedia Interest,BA Graphic Design / Diploma in Multimedia,Design,Junior Graphic Designer,Art Director,Lead Product Designer,Photoshop|Typography|Adobe Illustrator,Time Management|Attention to Detail|Receptivity to Feedback,Design Principles|User Experience|Digital Art,Google UX Design|Adobe Certified Professional,High,High,110000,140000-200000,Yes,High,High,"Create visual concepts to communicate ideas that inspire, inform, and captivate consumers."
553,Career Switcher,IT / Programming Interest,BSc Computer Science,Software Engineering,Associate Software Engineer,Backend Engineer,Senior Developer,Problem Solving|Git|Data Structures,Critical Thinking|Teamwork|Communication,Math for CS|Databases|Operating Systems,Azure Fundamentals|Scrum Master,Very High,Very High,125000,155000-750000,Yes,High,Medium,"Design, build, and maintain software applications and systems for various platforms."
554,A/L Completed,Arts Stream - Logic/Media focus,LLB Law,Legal Services,Junior Lawyer,Corporate Counsel,Chief Legal Officer,Litigation|Compliance|Drafting Contracts,Argumentation|Analytical Thinking|Negotiation,Corporate Law|Constitutional Law|Criminal Law,Notary Public|Attorney-at-Law (Sri Lanka Law College),Medium,Medium,75000,105000-310000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
555,Diploma Holder,Background in IT / Programming,BSc Computer Science,Software Engineering,Junior Software Developer,Full Stack Developer,Software Architect,Problem Solving|Data Structures|Programming,Time Management|Teamwork|Critical Thinking,Operating Systems|Databases|Software Patterns,AWS Certified Developer|Scrum Master,Very High,Very High,135000,165000-320000,Yes,High,Medium,"Design, build, and maintain software applications and systems for various platforms."
556,A/L Pending,Arts Stream - Languages focus,BSc Human Resource Management,Human Resources,Payroll Clerk,Employee Relations Manager,HR Director,"Payroll Management|HRIS (Workday, BambooHR)|Recruitment",Communication|Negotiation|Empathy,Organizational Behavior|Compensation|Performance Management,CIPM|SHRM-CP,Medium,Medium,95000,125000-290000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
557,A/L Pending,Physical Science Stream - Chemistry/IT focus,BA/BSc / BEd Education,Education,Trainee Teacher,Instructor,Dean,Curriculum Development|Lesson Planning|Student Assessment,Public Speaking|Empathy|Patience,Subject-Specific Focus|Educational Psychology|Curriculum Design,Postgraduate Diploma in Education (PGDE)|TEFL/TESOL,Medium,High,45000,75000-310000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
558,A/L Pending,Technology Stream - SFT focus,BSc Information Technology / Diploma in Networking,IT Infrastructure,IT Technician,Systems Administrator,Network Architect,Cloud Computing (AWS/Azure)|Routing & Switching|Linux/Windows Server,Communication|Customer Service|Reliability,Computer Networks|Operating Systems|System Administration,AWS SysOps|CompTIA Network+,High,High,120000,150000-290000,Yes,Low,Medium,"Design, install, and maintain the computer networks and systems that organizations rely on."
559,A/L Completed,Technology Stream - SFT focus,BSc Hospitality Management,Tourism,Tour Guide,Hotel Manager,Director of Tourism,Languages|Event Planning|Inventory Management,Problem Solving|Customer Service|Cultural Awareness,Tourism Marketing|Hospitality Operations|HR in Hospitality,Language Diplomas|Food Safety Certification,High,Medium,60000,90000-420000,No,Medium,High,"Manage operations in hotels, resorts, and coordinate travel experiences for tourists."
560,O/L Completed,Logistics & Supply Chain Interest,BSc Supply Chain Management,Logistics,Procurement Trainee,Supply Chain Manager,Procurement Director,Freight Forwarding|ERP Software (SAP/Oracle)|Inventory Management,Negotiation|Problem Solving|Leadership,Inventory Control|Procurement|Transportation Management,CIPS|CSCP,High,High,115000,145000-250000,No,Low,Medium,Oversee the movement of goods from suppliers to consumers efficiently and cost-effectively.
561,Graduate,Background in Education & Teaching,BA/BSc / BEd Education,Education,Tutor,Lecturer,Dean,Educational Technology|Curriculum Development|Student Assessment,Mentorship|Empathy|Public Speaking,Subject-Specific Focus|Educational Psychology|Teaching Methodology,Postgraduate Diploma in Education (PGDE)|TEFL/TESOL,Medium,High,65000,95000-260000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
562,Career Switcher,Architecture & Built Environment Interest,BArch Architecture,Architecture,Junior Draftsman,Interior Designer,Principal Architect,Revit|SketchUp|3D Rendering,Attention to Detail|Communication|Creativity,Architectural Design|Building Materials|Structural Design,LEED Green Associate|Chartered Architect (AIA),Medium,Medium,115000,145000-250000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
563,Career Switcher,Data Analysis & AI Interest,BSc Data Science,Data Science,Data Analyst,Data Engineer,AI Research Scientist,Machine Learning|Statistics|Python,Business Acumen|Curiosity|Presentation,Big Data|Probability|Deep Learning,Google Data Analytics|IBM Data Science,High,Very High,140000,170000-630000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
564,O/L Completed,Construction & Structures Interest,BSc Civil Engineering,Civil Engineering,Structural Trainee,Project Engineer,Senior Civil Engineer,Project Management|Surveying|Structural Analysis,Teamwork|Problem Solving|Risk Management,Geotechnical Engineering|Fluid Mechanics|Structural Design,Chartered Engineer (CEng)|AutoCAD Certification,Medium,Medium,70000,100000-470000,No,Low,Low,"Design, build, and supervise infrastructure projects and systems."
565,Diploma Holder,Background in Marketing & Digital Media,BSc Digital Marketing,Marketing,Social Media Coordinator,SEO Specialist,Chief Marketing Officer,Google Analytics|Content Creation|Social Media Ads,Adaptability|Communication|Creativity,Digital Strategy|Market Research|Brand Management,Meta Blueprint|Google Digital Garage,High,High,90000,120000-250000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
566,O/L Completed,Healthcare Caregiving Interest,BSc Nursing,Healthcare - Nursing,Assistant Nurse,Staff Nurse,Nursing Sister,Infection Control|Patient Care|First Aid,Communication|Empathy|Resilience,Nursing Foundations|Psychology|Medical-Surgical Nursing,Specialized Nursing Certifications|ACLS,High,Very High,65000,95000-330000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
567,Undergraduate,Background in Accounting & Finance,BSc Accounting and Finance,Finance,Junior Accountant,Accountant,Chief Financial Officer (CFO),Taxation|ERP Systems|Financial Reporting,Attention to Detail|Ethics|Integrity,Economics|Auditing|Corporate Finance,CMA|CIMA,High,High,105000,135000-690000,Yes,Medium,High,"Manage financial records, analyze financial data, and ensure legal tax compliance for organizations."
568,Diploma Holder,Background in Construction & Structures,BSc Civil Engineering,Civil Engineering,Junior Civil Engineer,Structural Engineer,Engineering Director,AutoCAD|Surveying|Structural Analysis,Teamwork|Leadership|Risk Management,Structural Design|Fluid Mechanics|Geotechnical Engineering,AutoCAD Certification|Chartered Engineer (CEng),Medium,Medium,105000,135000-400000,No,Low,Low,"Design, build, and supervise infrastructure projects and systems."
569,Undergraduate,Background in Design & Multimedia,BA Graphic Design / Diploma in Multimedia,Design,Visual Designer,Art Director,Creative Director,Color Theory|Adobe Illustrator|Figma,Receptivity to Feedback|Time Management|Attention to Detail,Digital Art|Visual Communication|Design Principles,Adobe Certified Professional|Google UX Design,High,High,65000,95000-240000,Yes,High,High,"Create visual concepts to communicate ideas that inspire, inform, and captivate consumers."
570,O/L Completed,Agriculture Interest,BSc Agriculture,Agriculture & Agri-Business,Agricultural Assistant,Agronomist,Estate Superintendent,"Soil Science|Agri-Tech (IoT, Drones)|Crop Management",Problem Solving|Team Management|Adaptability,Soil Science|Crop Science|Plant Biotechnology,Pesticide Application License|GAP Certification,Medium,Low,50000,80000-230000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
571,A/L Pending,Technology Stream - IT focus,BA/BSc / BEd Education,Education,Tutor,Lecturer,Dean,Student Assessment|Lesson Planning|Curriculum Development,Patience|Mentorship|Public Speaking,Subject-Specific Focus|Educational Psychology|Curriculum Design,TEFL/TESOL|Postgraduate Diploma in Education (PGDE),Medium,High,55000,85000-180000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
572,A/L Pending,Technology Stream - ET/BST focus,BSc Computer Science,Software Engineering,Associate Software Engineer,Software Engineer,Software Architect,Algorithms|Programming|Problem Solving,Teamwork|Time Management|Communication,Software Patterns|Databases|Operating Systems,Scrum Master|AWS Certified Developer,Very High,Very High,125000,155000-790000,Yes,High,Medium,"Design, build, and maintain software applications and systems for various platforms."
573,A/L Completed,Physical Science Stream - Chemistry/IT focus,BSc Mechanical Engineering,Mechanical Engineering,Junior Mechanical Engineer,Maintenance Engineer,Engineering Director,CAD/CAM|Quality Control|Thermodynamics,Innovation|Troubleshooting|Analytical Thinking,Fluid Mechanics|Thermodynamics|Control Systems,Chartered Engineer (CEng)|SolidWorks Certification,Medium,High,85000,115000-330000,No,Low,Medium,"Design, develop, build, and test mechanical and thermal sensors and devices."
574,A/L Pending,Arts Stream - Logic/Media focus,LLB Law,Legal Services,Junior Lawyer,Legal Consultant,Senior Counsel,Litigation|Drafting Contracts|Compliance,Argumentation|Analytical Thinking|Public Speaking,Contract Law|Criminal Law|Corporate Law,Attorney-at-Law (Sri Lanka Law College)|Notary Public,Medium,Medium,65000,95000-340000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
575,A/L Completed,Commerce Stream - Economics/IT focus,BSc Human Resource Management,Human Resources,HR Assistant,Employee Relations Manager,Chief Human Resources Officer (CHRO),Payroll Management|Labor Law Knowledge|Recruitment,Conflict Resolution|Negotiation|Empathy,Organizational Behavior|Labor Law|Performance Management,CIPM|PHR,Medium,Medium,80000,110000-420000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
576,Graduate,Background in Tourism & Hospitality,BSc Hospitality Management,Tourism,Front Office Assistant,Event Manager,General Manager (Hotel),Property Management Systems|Event Planning|Languages,Customer Service|Problem Solving|Interpersonal Skills,Food & Beverage Management|HR in Hospitality|Hospitality Operations,IATA Certification|Language Diplomas,High,Medium,90000,120000-360000,No,Medium,High,"Manage operations in hotels, resorts, and coordinate travel experiences for tourists."
577,Career Switcher,Human Resource Management Interest,BSc Human Resource Management,Human Resources,Payroll Clerk,HR Manager,VP of People,"Payroll Management|HRIS (Workday, BambooHR)|Labor Law Knowledge",Negotiation|Communication|Conflict Resolution,Organizational Behavior|Performance Management|Labor Law,PHR|SHRM-CP,Medium,Medium,70000,100000-230000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
578,Graduate,Background in Cybersecurity,BSc Cyber Security,Information Security,Junior Penetration Tester,Penetration Tester,Cyber Security Manager,Linux|Ethical Hacking|Network Security,Calm Under Pressure|Perseverance|Analytical Thinking,Cryptography|Digital Forensics|Malware Analysis,CompTIA Security+|CEH,Very High,Very High,215000,245000-670000,Yes,High,Low,Protect computer systems and networks from cyber attacks and unauthorized access.
579,Undergraduate,Background in Logistics & Supply Chain,BSc Supply Chain Management,Logistics,Procurement Trainee,Logistics Analyst,Chief Supply Chain Officer,Data Analysis|Inventory Management|Freight Forwarding,Leadership|Negotiation|Problem Solving,Transportation Management|Procurement|Inventory Control,CIPS|Six Sigma,High,High,110000,140000-550000,No,Low,Medium,Oversee the movement of goods from suppliers to consumers efficiently and cost-effectively.
580,Diploma Holder,Background in Agriculture,BSc Agriculture,Agriculture & Agri-Business,Agricultural Assistant,Agronomist,Estate Superintendent,"Pest Control|Agri-Tech (IoT, Drones)|Crop Management",Problem Solving|Team Management|Adaptability,Plant Biotechnology|Agricultural Economics|Crop Science,Pesticide Application License|GAP Certification,Medium,Low,85000,115000-410000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
581,A/L Pending,Technology Stream - SFT focus,BSc Data Science,Data Science,Data Analyst,Machine Learning Engineer,AI Research Scientist,Data Viz|Statistics|SQL,Curiosity|Business Acumen|Presentation,Deep Learning|Probability|Big Data,IBM Data Science|AWS Machine Learning,High,Very High,155000,185000-800000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
582,Diploma Holder,Background in Architecture & Built Environment,BArch Architecture,Architecture,Design Intern,Architect,Principal Architect,Revit|Building Codes|SketchUp,Communication|Attention to Detail|Creativity,Building Materials|History of Architecture|Architectural Design,Chartered Architect (AIA)|LEED Green Associate,Medium,Medium,70000,100000-470000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
583,Career Switcher,Logistics & Supply Chain Interest,BSc Supply Chain Management,Logistics,Procurement Trainee,Logistics Analyst,Procurement Director,Data Analysis|ERP Software (SAP/Oracle)|Freight Forwarding,Negotiation|Leadership|Time Management,Inventory Control|Procurement|Transportation Management,CIPS|CSCP,High,High,95000,125000-460000,No,Low,Medium,Oversee the movement of goods from suppliers to consumers efficiently and cost-effectively.
584,Graduate,Background in Medicine,MBBS Medicine,Healthcare - Medical,Junior Doctor,General Practitioner,Consultant Specialist,Pharmacology|Medical Procedures|Diagnosis,Decision Making Under Pressure|Empathy|Ethics,Physiology|Anatomy|Pathology,USMLE|MD/MS (Sri Lanka),Very High,Very High,230000,260000-870000,No,Low,Low,"Diagnose and treat illnesses, injuries, and health conditions in patients."
585,Undergraduate,Background in Agriculture,BSc Agriculture,Agriculture & Agri-Business,Field Officer,Agricultural Officer,Senior Agronomist,"Agri-Tech (IoT, Drones)|Crop Management|Soil Science",Problem Solving|Team Management|Adaptability,Plant Biotechnology|Agricultural Economics|Soil Science,GAP Certification|Pesticide Application License,Medium,Low,80000,110000-420000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
586,A/L Completed,Commerce Stream - Business focus,BSc Digital Marketing,Marketing,SEO Trainee,Content Strategist,Head of Digital,SEO/SEM|Content Creation|Google Analytics,Creativity|Adaptability|Communication,Brand Management|Market Research|Consumer Behavior,Google Digital Garage|Meta Blueprint,High,High,70000,100000-240000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
587,Graduate,Background in Agriculture,BSc Agriculture,Agriculture & Agri-Business,Agricultural Assistant,Plantation Manager,Senior Agronomist,"Pest Control|Agri-Tech (IoT, Drones)|Soil Science",Adaptability|Physical Endurance|Team Management,Soil Science|Crop Science|Agricultural Economics,Pesticide Application License|GAP Certification,Medium,Low,80000,110000-200000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
588,A/L Completed,Biological Science Stream - Chemistry focus,BBA Business Management,Business Operations,Management Trainee,Operations Manager,Chief Operating Officer,Strategic Planning|Data Analysis|Budgeting,Decision Making|Problem Solving|Leadership,HR|Strategic Management|Organizational Behavior,Certified Business Analysis Professional (CBAP)|PMP,Medium,High,130000,160000-340000,Yes,Medium,Low,Oversee the day-to-day operations of a company to ensure efficiency and profitability.
589,Undergraduate,Background in Networking,BSc Information Technology / Diploma in Networking,IT Infrastructure,Network Support Engineer,Systems Administrator,Senior Cloud Architect,Cloud Computing (AWS/Azure)|Routing & Switching|Linux/Windows Server,Customer Service|Troubleshooting|Communication,Computer Networks|Operating Systems|System Administration,CCNA|CCNP,High,High,120000,150000-520000,Yes,Low,Medium,"Design, install, and maintain the computer networks and systems that organizations rely on."
590,A/L Completed,Biological Science Stream - Physics/Agri focus,BSc Nursing,Healthcare - Nursing,Assistant Nurse,ICU Nurse,Matron,Patient Care|Infection Control|Vital Signs Monitoring,Communication|Resilience|Patience,Nursing Foundations|Psychology|Medical-Surgical Nursing,Specialized Nursing Certifications|BLS,High,Very High,85000,115000-480000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
591,O/L Completed,Medicine Interest,MBBS Medicine,Healthcare - Medical,Junior Doctor,General Practitioner,Consultant Specialist,Pharmacology|Medical Procedures|Diagnosis,Communication|Ethics|Decision Making Under Pressure,Surgery|Physiology|Anatomy,MRCP|USMLE,Very High,Very High,150000,180000-1500000,No,Low,Low,"Diagnose and treat illnesses, injuries, and health conditions in patients."
592,A/L Pending,Commerce Stream - Accounting focus,BA/BSc Psychology,Psychology,Counseling Trainee,Clinical Psychologist,Consultant Psychologist,Therapy Techniques (CBT)|Research Methodology|Psychological Assessment,Patience|Active Listening|Confidentiality,Cognitive Psychology|Developmental Psychology|Abnormal Psychology,Counseling Diploma|Mental Health First Aid,Medium,High,90000,120000-250000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
593,A/L Completed,Commerce Stream - Business focus,BSc Human Resource Management,Human Resources,Recruitment Trainee,HR Manager,HR Director,"Recruitment|Labor Law Knowledge|HRIS (Workday, BambooHR)",Communication|Conflict Resolution|Empathy,Compensation|Organizational Behavior|Performance Management,PHR|SHRM-CP,Medium,Medium,60000,90000-230000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
594,A/L Pending,Technology Stream - SFT focus,BSc Hospitality Management,Tourism,Front Office Assistant,Event Manager,General Manager (Hotel),Languages|Property Management Systems|Event Planning,Customer Service|Cultural Awareness|Problem Solving,Hospitality Operations|HR in Hospitality|Food & Beverage Management,Food Safety Certification|Language Diplomas,High,Medium,50000,80000-280000,No,Medium,High,"Manage operations in hotels, resorts, and coordinate travel experiences for tourists."
595,Career Switcher,Healthcare Caregiving Interest,BSc Nursing,Healthcare - Nursing,Assistant Nurse,Registered Nurse,Matron,First Aid|Infection Control|Patient Care,Communication|Resilience|Patience,Medical-Surgical Nursing|Pharmacology|Psychology,BLS|Specialized Nursing Certifications,High,Very High,85000,115000-170000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
596,Diploma Holder,Background in Data Analysis & AI,BSc Data Science,Data Science,Data Analyst,Data Scientist,Senior Data Scientist,SQL|Machine Learning|Statistics,Analytical Thinking|Business Acumen|Curiosity,Deep Learning|Probability|Linear Algebra,AWS Machine Learning|IBM Data Science,High,Very High,195000,225000-380000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
597,Career Switcher,Medicine Interest,MBBS Medicine,Healthcare - Medical,Medical Intern,Medical Officer,Chief Medical Officer,Pharmacology|Patient Care|Diagnosis,Empathy|Ethics|Communication,Physiology|Pathology|Surgery,USMLE|MD/MS (Sri Lanka),Very High,Very High,240000,270000-800000,No,Low,Low,"Diagnose and treat illnesses, injuries, and health conditions in patients."
598,Undergraduate,Background in Law & Justice,LLB Law,Legal Services,Legal Assistant,Attorney-at-Law,Senior Counsel,Litigation|Legal Research|Drafting Contracts,Analytical Thinking|Public Speaking|Argumentation,Corporate Law|Contract Law|Criminal Law,Attorney-at-Law (Sri Lanka Law College)|Notary Public,Medium,Medium,70000,100000-870000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
599,Diploma Holder,Background in Law & Justice,LLB Law,Legal Services,Junior Lawyer,Corporate Counsel,Senior Counsel,Compliance|Drafting Contracts|Litigation,Public Speaking|Analytical Thinking|Negotiation,Criminal Law|Corporate Law|Contract Law,Notary Public|Attorney-at-Law (Sri Lanka Law College),Medium,Medium,85000,115000-620000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
600,A/L Completed,Technology Stream - ET/BST focus,BSc Information Technology / Diploma in Networking,IT Infrastructure,Network Support Engineer,Systems Administrator,Senior Cloud Architect,Routing & Switching|Cloud Computing (AWS/Azure)|Linux/Windows Server,Customer Service|Communication|Reliability,Computer Networks|System Administration|Operating Systems,CompTIA Network+|CCNA,High,High,135000,165000-390000,Yes,Low,Medium,"Design, install, and maintain the computer networks and systems that organizations rely on."
601,O/L Completed,Marketing & Digital Media Interest,BSc Digital Marketing,Marketing,Marketing Assistant,Content Strategist,Marketing Director,SEO/SEM|Content Creation|Social Media Ads,Communication|Adaptability|Empathy,Market Research|Digital Strategy|Consumer Behavior,Google Digital Garage|HubSpot Inbound Marketing,High,High,70000,100000-210000,Yes,High,Medium,Promote products and services using digital channels to reach target audiences effectively.
602,Career Switcher,Cybersecurity Interest,BSc Cyber Security,Information Security,Junior Penetration Tester,Penetration Tester,Security Architect,Ethical Hacking|Network Security|Risk Assessment,Calm Under Pressure|Ethics|Perseverance,Digital Forensics|Cryptography|Malware Analysis,CISSP|CISM,Very High,Very High,150000,180000-1040000,Yes,High,Low,Protect computer systems and networks from cyber attacks and unauthorized access.
603,Diploma Holder,Background in Accounting & Finance,BSc Accounting and Finance,Finance,Junior Accountant,Accountant,Chief Financial Officer (CFO),Financial Reporting|Taxation|Excel,Integrity|Ethics|Attention to Detail,Management Accounting|Economics|Corporate Finance,CIMA|CMA,High,High,80000,110000-300000,Yes,Medium,High,"Manage financial records, analyze financial data, and ensure legal tax compliance for organizations."
604,A/L Pending,Arts Stream - Logic/Media focus,BA/BSc / BEd Education,Education,Trainee Teacher,Teacher,Principal,Educational Technology|Lesson Planning|Student Assessment,Patience|Empathy|Public Speaking,Educational Psychology|Curriculum Design|Teaching Methodology,TEFL/TESOL|Postgraduate Diploma in Education (PGDE),Medium,High,75000,105000-210000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
605,A/L Completed,Physical Science Stream - Physics focus,BSc Agriculture,Agriculture & Agri-Business,Field Officer,Agronomist,Director of Agriculture,"Pest Control|Agri-Tech (IoT, Drones)|Soil Science",Adaptability|Team Management|Problem Solving,Soil Science|Crop Science|Agricultural Economics,GAP Certification|Pesticide Application License,Medium,Low,60000,90000-350000,No,Low,Medium,"Manage farming operations, improve crop yields, and implement sustainable agricultural practices."
606,A/L Pending,Biological Science Stream - Biology focus,BA/BSc Psychology,Psychology,Assistant Psychologist,Counselor,Chief HR Officer,Psychological Assessment|Research Methodology|Therapy Techniques (CBT),Patience|Confidentiality|Empathy,Developmental Psychology|Cognitive Psychology|Counseling,Clinical Psychology Masters|Counseling Diploma,Medium,High,60000,90000-340000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
