id,education_level,stream_or_subject_interest,recommended_degree_or_course,career_field,entry_level_job,mid_level_job,senior_level_job,key_skills_required,recommended_soft_skills,typical_university_subjects,certifications_or_extra_training,industry_growth_in_sri_lanka,global_demand_level,average_starting_salary_lkr,future_salary_range_lkr,remote_work_possibility,freelance_opportunity,automation_risk,job_description
434,A/L Pending,Commerce;Arts,Diploma in Marketing,Marketing,Marketing Executive,Brand Manager,Chief Marketing Officer,SEO/SEM;Digital Marketing;Brand Strategy;Content Creation;Google Analytics,Creativity;Communication;Adaptability;Empathy,Consumer Behavior;Digital Strategy;Market Research;Brand Management,CIM;Google Digital Garage;HubSpot Inbound Marketing,High,High,64000,351000-700000,Yes,High,Low,Promoting products and services using digital channels to reach target audiences effectively.
435,Diploma Holder,Commerce;Arts,Certificate in Digital Marketing,Marketing,SEO Trainee,Digital Marketing Executive,Marketing Director,SEO/SEM;Digital Marketing;Brand Strategy;Content Creation;Google Analytics,Creativity;Communication;Adaptability;Empathy,Consumer Behavior;Digital Strategy;Market Research;Brand Management,CIM;Google Digital Garage;HubSpot Inbound Marketing,High,Very High,73000,444000-1780000,Yes,High,Medium,Promoting products and services using digital channels to reach target audiences effectively.
436,O/L Completed,Commerce;Arts,Certificate in Digital Marketing,Marketing,Marketing Executive,SEO Specialist,Chief Marketing Officer,SEO/SEM;Digital Marketing;Brand Strategy;Content Creation;Google Analytics,Creativity;Communication;Adaptability;Empathy,Consumer Behavior;Digital Strategy;Market Research;Brand Management,CIM;Google Digital Garage;HubSpot Inbound Marketing,High,High,81000,407000-1630000,Yes,High,Low,Promoting products and services using digital channels to reach target audiences effectively.
437,Career Switcher,Commerce;Arts,CIM,Marketing,Marketing Executive,SEO Specialist,Head of Digital,SEO/SEM;Digital Marketing;Brand Strategy;Content Creation;Google Analytics,Creativity;Communication;Adaptability;Empathy,Consumer Behavior;Digital Strategy;Market Research;Brand Management,CIM;Google Digital Garage;HubSpot Inbound Marketing,High,Very High,70000,463000-930000,Yes,High,Low,Promoting products and services using digital channels to reach target audiences effectively.
438,A/L Completed,Commerce;Arts,BSc Digital Marketing,Marketing,Marketing Executive,Marketing Manager,Chief Marketing Officer,SEO/SEM;Digital Marketing;Brand Strategy;Content Creation;Google Analytics,Creativity;Communication;Adaptability;Empathy,Consumer Behavior;Digital Strategy;Market Research;Brand Management,CIM;Google Digital Garage;HubSpot Inbound Marketing,High,Very High,72000,510000-2040000,Yes,High,Medium,Promoting products and services using digital channels to reach target audiences effectively.
439,A/L Completed,Commerce;Arts,BSc Digital Marketing,Marketing,Marketing Executive,SEO Specialist,Chief Marketing Officer,SEO/SEM;Digital Marketing;Brand Strategy;Content Creation;Google Analytics,Creativity;Communication;Adaptability;Empathy,Consumer Behavior;Digital Strategy;Market Research;Brand Management,CIM;Google Digital Garage;HubSpot Inbound Marketing,Moderate,Very High,66000,584000-2340000,Yes,High,Low,Promoting products and services using digital channels to reach target audiences effectively.
440,Diploma Holder,Commerce;Arts,Diploma in Marketing,Marketing,SEO Trainee,Marketing Manager,Chief Marketing Officer,SEO/SEM;Digital Marketing;Brand Strategy;Content Creation;Google Analytics,Creativity;Communication;Adaptability;Empathy,Consumer Behavior;Digital Strategy;Market Research;Brand Management,CIM;Google Digital Garage;HubSpot Inbound Marketing,High,High,73000,545000-2180000,Yes,High,Low,Promoting products and services using digital channels to reach target audiences effectively.
441,Diploma Holder,Commerce;Arts,Foundation in Business,Marketing,SEO Trainee,SEO Specialist,Chief Marketing Officer,SEO/SEM;Digital Marketing;Brand Strategy;Content Creation;Google Analytics,Creativity;Communication;Adaptability;Empathy,Consumer Behavior;Digital Strategy;Market Research;Brand Management,CIM;Google Digital Garage;HubSpot Inbound Marketing,Very High,High,75000,564000-1130000,Yes,High,Low,Promoting products and services using digital channels to reach target audiences effectively.
442,Graduate,Commerce;Arts,BSc Marketing Management,Marketing,Digital Marketing Assistant,SEO Specialist,Chief Marketing Officer,SEO/SEM;Digital Marketing;Brand Strategy;Content Creation;Google Analytics,Creativity;Communication;Adaptability;Empathy,Consumer Behavior;Digital Strategy;Market Research;Brand Management,CIM;Google Digital Garage;HubSpot Inbound Marketing,Moderate,High,85000,306000-610000,Yes,High,Medium,Promoting products and services using digital channels to reach target audiences effectively.
443,A/L Completed,Commerce;Arts,BBA Marketing,Marketing,SEO Trainee,Marketing Manager,Head of Digital,SEO/SEM;Digital Marketing;Brand Strategy;Content Creation;Google Analytics,Creativity;Communication;Adaptability;Empathy,Consumer Behavior;Digital Strategy;Market Research;Brand Management,CIM;Google Digital Garage;HubSpot Inbound Marketing,Moderate,High,87000,381000-760000,Yes,High,Low,Promoting products and services using digital channels to reach target audiences effectively.
444,O/L Completed,Commerce;Arts,Certificate in Digital Marketing,Marketing,Digital Marketing Assistant,Brand Manager,Head of Digital,SEO/SEM;Digital Marketing;Brand Strategy;Content Creation;Google Analytics,Creativity;Communication;Adaptability;Empathy,Consumer Behavior;Digital Strategy;Market Research;Brand Management,CIM;Google Digital Garage;HubSpot Inbound Marketing,High,High,85000,272000-540000,Yes,High,Low,Promoting products and services using digital channels to reach target audiences effectively.
445,A/L Pending,Commerce;Arts,BSc Marketing Management,Marketing,Digital Marketing Assistant,SEO Specialist,Head of Digital,SEO/SEM;Digital Marketing;Brand Strategy;Content Creation;Google Analytics,Creativity;Communication;Adaptability;Empathy,Consumer Behavior;Digital Strategy;Market Research;Brand Management,CIM;Google Digital Garage;HubSpot Inbound Marketing,Very High,High,101000,365000-730000,Yes,High,Low,Promoting products and services using digital channels to reach target audiences effectively.
446,A/L Pending,Commerce;Arts,BBA Marketing,Marketing,Digital Marketing Assistant,Marketing Manager,Head of Digital,SEO/SEM;Digital Marketing;Brand Strategy;Content Creation;Google Analytics,Creativity;Communication;Adaptability;Empathy,Consumer Behavior;Digital Strategy;Market Research;Brand Management,CIM;Google Digital Garage;HubSpot Inbound Marketing,Moderate,High,101000,428000-1710000,Yes,High,Medium,Promoting products and services using digital channels to reach target audiences effectively.
447,Undergraduate,Commerce;Arts,BSc Digital Marketing,Marketing,SEO Trainee,SEO Specialist,Chief Marketing Officer,SEO/SEM;Digital Marketing;Brand Strategy;Content Creation;Google Analytics,Creativity;Communication;Adaptability;Empathy,Consumer Behavior;Digital Strategy;Market Research;Brand Management,CIM;Google Digital Garage;HubSpot Inbound Marketing,High,Medium,101000,358000-720000,Yes,High,Medium,Promoting products and services using digital channels to reach target audiences effectively.
448,Undergraduate,Commerce;Arts,BSc Digital Marketing,Marketing,SEO Trainee,SEO Specialist,Chief Marketing Officer,SEO/SEM;Digital Marketing;Brand Strategy;Content Creation;Google Analytics,Creativity;Communication;Adaptability;Empathy,Consumer Behavior;Digital Strategy;Market Research;Brand Management,CIM;Google Digital Garage;HubSpot Inbound Marketing,Moderate,Very High,61000,433000-870000,Yes,High,Medium,Promoting products and services using digital channels to reach target audiences effectively.
449,Graduate,Commerce;Arts,CIM,Marketing,SEO Trainee,Marketing Manager,Chief Marketing Officer,SEO/SEM;Digital Marketing;Brand Strategy;Content Creation;Google Analytics,Creativity;Communication;Adaptability;Empathy,Consumer Behavior;Digital Strategy;Market Research;Brand Management,CIM;Google Digital Garage;HubSpot Inbound Marketing,Very High,Medium,106000,371000-740000,Yes,High,Low,Promoting products and services using digital channels to reach target audiences effectively.
450,Undergraduate,Commerce;Arts,BSc Marketing Management,Marketing,Digital Marketing Assistant,Marketing Manager,Head of Digital,SEO/SEM;Digital Marketing;Brand Strategy;Content Creation;Google Analytics,Creativity;Communication;Adaptability;Empathy,Consumer Behavior;Digital Strategy;Market Research;Brand Management,CIM;Google Digital Garage;HubSpot Inbound Marketing,Moderate,Very High,88000,462000-1850000,Yes,High,Medium,Promoting products and services using digital channels to reach target audiences effectively.
451,A/L Completed,Commerce;Arts,CQHRM,Human Resources,HR Assistant,HR Manager,VP of People,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Moderate,Medium,64000,319000-640000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
452,A/L Completed,Commerce;Arts,CQHRM,Human Resources,Payroll Clerk,Talent Acquisition Specialist,VP of People,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,High,High,70000,299000-600000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
453,Diploma Holder,Commerce;Arts,Diploma in Human Resource Management,Human Resources,HR Assistant,HR Manager,Chief Human Resources Officer (CHRO),Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,High,Very High,85000,403000-1610000,Sometimes,Medium,Medium,"Managing the recruitment, development, and wellbeing of an organization's employees."
454,Diploma Holder,Commerce;Arts,BSc Human Resource Management,Human Resources,Payroll Clerk,HR Manager,VP of People,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Very High,Medium,88000,433000-870000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
455,A/L Completed,Commerce;Arts,BBA Human Resource Management,Human Resources,HR Assistant,HR Manager,Chief Human Resources Officer (CHRO),Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,High,Very High,74000,446000-890000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
456,Graduate,Commerce;Arts,BBA Human Resource Management,Human Resources,Payroll Clerk,Employee Relations Manager,HR Director,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,High,Very High,82000,476000-1430000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
457,A/L Completed,Commerce;Arts,BSc Human Resource Management,Human Resources,HR Assistant,Talent Acquisition Specialist,Chief Human Resources Officer (CHRO),Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Moderate,Medium,68000,327000-650000,Sometimes,Medium,Medium,"Managing the recruitment, development, and wellbeing of an organization's employees."
458,A/L Completed,Commerce;Arts,BBA Human Resource Management,Human Resources,Payroll Clerk,Talent Acquisition Specialist,Chief Human Resources Officer (CHRO),Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Very High,High,93000,527000-1580000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
459,O/L Completed,Commerce;Arts,Diploma in Human Resource Management,Human Resources,Recruitment Trainee,HR Manager,VP of People,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,High,High,66000,312000-1250000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
460,Diploma Holder,Commerce;Arts,Foundation in Business,Human Resources,Recruitment Trainee,Employee Relations Manager,Chief Human Resources Officer (CHRO),Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Very High,Medium,66000,425000-1700000,Sometimes,Medium,Medium,"Managing the recruitment, development, and wellbeing of an organization's employees."
461,Diploma Holder,Commerce;Arts,BBA Human Resource Management,Human Resources,Payroll Clerk,Talent Acquisition Specialist,HR Director,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Very High,Very High,76000,354000-1420000,Sometimes,Medium,Medium,"Managing the recruitment, development, and wellbeing of an organization's employees."
462,Diploma Holder,Commerce;Arts,CQHRM,Human Resources,Recruitment Trainee,Talent Acquisition Specialist,HR Director,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,High,Very High,75000,389000-780000,Sometimes,Medium,Medium,"Managing the recruitment, development, and wellbeing of an organization's employees."
463,A/L Completed,Commerce;Arts,BBA Human Resource Management,Human Resources,Payroll Clerk,Talent Acquisition Specialist,VP of People,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Moderate,Very High,97000,266000-800000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
464,Career Switcher,Commerce;Arts,BBA Human Resource Management,Human Resources,HR Assistant,HR Manager,VP of People,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,High,High,89000,582000-1750000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
465,Graduate,Commerce;Arts,BBA Human Resource Management,Human Resources,HR Assistant,Employee Relations Manager,Chief Human Resources Officer (CHRO),Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Moderate,Medium,65000,471000-1880000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
466,Undergraduate,Commerce;Arts,BBA Human Resource Management,Human Resources,HR Assistant,Employee Relations Manager,HR Director,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Very High,Very High,92000,396000-1190000,Sometimes,Medium,Medium,"Managing the recruitment, development, and wellbeing of an organization's employees."
467,A/L Completed,Commerce;Arts,BBA Human Resource Management,Human Resources,HR Assistant,HR Manager,Chief Human Resources Officer (CHRO),Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,High,Very High,72000,300000-1200000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
468,A/L Completed,Commerce;Arts,BSc Human Resource Management,Human Resources,Recruitment Trainee,Employee Relations Manager,VP of People,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Very High,Medium,63000,314000-630000,Sometimes,Medium,Medium,"Managing the recruitment, development, and wellbeing of an organization's employees."
469,A/L Completed,Commerce;Arts,CQHRM,Human Resources,Recruitment Trainee,HR Manager,Chief Human Resources Officer (CHRO),Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Moderate,High,80000,366000-1100000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
470,Career Switcher,Commerce;Arts,BSc Human Resource Management,Human Resources,HR Assistant,Talent Acquisition Specialist,HR Director,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,High,Medium,80000,298000-600000,Sometimes,Medium,Medium,"Managing the recruitment, development, and wellbeing of an organization's employees."
471,Career Switcher,Commerce;Arts,BSc Human Resource Management,Human Resources,Recruitment Trainee,HR Manager,VP of People,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Moderate,High,81000,409000-820000,Sometimes,Medium,Medium,"Managing the recruitment, development, and wellbeing of an organization's employees."
472,Career Switcher,Commerce;Arts,BSc Human Resource Management,Human Resources,Recruitment Trainee,HR Manager,Chief Human Resources Officer (CHRO),Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Very High,High,78000,470000-940000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
473,O/L Completed,Commerce;Arts,Foundation in Business,Human Resources,Payroll Clerk,Talent Acquisition Specialist,Chief Human Resources Officer (CHRO),Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Very High,High,98000,345000-1040000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
474,Undergraduate,Commerce;Arts,BSc Human Resource Management,Human Resources,Recruitment Trainee,Talent Acquisition Specialist,HR Director,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Moderate,Very High,96000,580000-1740000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
475,Undergraduate,Commerce;Arts,BBA Human Resource Management,Human Resources,HR Assistant,Employee Relations Manager,Chief Human Resources Officer (CHRO),Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Very High,Medium,67000,257000-770000,Sometimes,Medium,Medium,"Managing the recruitment, development, and wellbeing of an organization's employees."
476,Diploma Holder,Commerce;Arts,Foundation in Business,Human Resources,Payroll Clerk,Employee Relations Manager,Chief Human Resources Officer (CHRO),Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,High,High,97000,444000-1330000,Sometimes,Medium,Medium,"Managing the recruitment, development, and wellbeing of an organization's employees."
477,O/L Completed,Commerce;Arts,Certificate in HRM,Human Resources,Recruitment Trainee,HR Manager,Chief Human Resources Officer (CHRO),Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,High,Medium,83000,369000-1110000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
478,Graduate,Commerce;Arts,CQHRM,Human Resources,Payroll Clerk,Employee Relations Manager,Chief Human Resources Officer (CHRO),Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,High,Very High,63000,467000-1870000,Sometimes,Medium,Medium,"Managing the recruitment, development, and wellbeing of an organization's employees."
479,Graduate,Commerce;Arts,BSc Human Resource Management,Human Resources,HR Assistant,Employee Relations Manager,HR Director,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Very High,Medium,94000,403000-1610000,Sometimes,Medium,Medium,"Managing the recruitment, development, and wellbeing of an organization's employees."
480,Graduate,Commerce;Arts,CQHRM,Human Resources,HR Assistant,HR Manager,HR Director,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Very High,Very High,85000,285000-1140000,Sometimes,Medium,Medium,"Managing the recruitment, development, and wellbeing of an organization's employees."
481,O/L Completed,Commerce;Arts,Diploma in Human Resource Management,Human Resources,Recruitment Trainee,Employee Relations Manager,Chief Human Resources Officer (CHRO),Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,High,High,66000,294000-590000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
482,Career Switcher,Commerce;Arts,CQHRM,Human Resources,Recruitment Trainee,Talent Acquisition Specialist,HR Director,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Very High,Medium,88000,493000-1970000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
483,Graduate,Commerce;Arts,CQHRM,Human Resources,Recruitment Trainee,HR Manager,VP of People,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,High,Medium,70000,345000-690000,Sometimes,Medium,Medium,"Managing the recruitment, development, and wellbeing of an organization's employees."
484,Undergraduate,Commerce;Arts,CQHRM,Human Resources,Recruitment Trainee,HR Manager,HR Director,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,High,Medium,90000,268000-1070000,Sometimes,Medium,Medium,"Managing the recruitment, development, and wellbeing of an organization's employees."
485,Career Switcher,Commerce;Arts,BBA Human Resource Management,Human Resources,Recruitment Trainee,Employee Relations Manager,Chief Human Resources Officer (CHRO),Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,High,Medium,80000,517000-1030000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
486,Undergraduate,Commerce;Arts,BSc Human Resource Management,Human Resources,Recruitment Trainee,HR Manager,Chief Human Resources Officer (CHRO),Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,High,Very High,78000,394000-1580000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
487,Graduate,Commerce;Arts,BSc Human Resource Management,Human Resources,HR Assistant,Talent Acquisition Specialist,Chief Human Resources Officer (CHRO),Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Moderate,High,94000,556000-1670000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
488,Diploma Holder,Commerce;Arts,Foundation in Business,Human Resources,Recruitment Trainee,Talent Acquisition Specialist,VP of People,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,High,High,83000,402000-1210000,Sometimes,Medium,Medium,"Managing the recruitment, development, and wellbeing of an organization's employees."
489,Diploma Holder,Commerce;Arts,Certificate in HRM,Human Resources,Payroll Clerk,Employee Relations Manager,VP of People,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Very High,Very High,95000,408000-1630000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
490,A/L Completed,Commerce;Arts,CQHRM,Human Resources,Payroll Clerk,Employee Relations Manager,Chief Human Resources Officer (CHRO),Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Moderate,High,94000,410000-820000,Sometimes,Medium,Medium,"Managing the recruitment, development, and wellbeing of an organization's employees."
491,Undergraduate,Commerce;Arts,BBA Human Resource Management,Human Resources,Recruitment Trainee,HR Manager,HR Director,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Very High,Medium,73000,401000-800000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
492,A/L Completed,Commerce;Arts,BBA Human Resource Management,Human Resources,Payroll Clerk,HR Manager,HR Director,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Moderate,Medium,62000,593000-1190000,Sometimes,Medium,Medium,"Managing the recruitment, development, and wellbeing of an organization's employees."
493,Undergraduate,Commerce;Arts,BBA Human Resource Management,Human Resources,HR Assistant,Employee Relations Manager,VP of People,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,High,Very High,98000,342000-1030000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
494,A/L Pending,Commerce;Arts,BSc Human Resource Management,Human Resources,Recruitment Trainee,Talent Acquisition Specialist,Chief Human Resources Officer (CHRO),Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,High,Very High,91000,485000-1940000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
495,Undergraduate,Commerce;Arts,BBA Human Resource Management,Human Resources,Payroll Clerk,Talent Acquisition Specialist,HR Director,Recruitment;Employee Management;Labor Law Knowledge;Payroll Management;HRIS,Empathy;Conflict Resolution;Negotiation;Communication,Organizational Behavior;Labor Law;Performance Management;Compensation,CIPM;SHRM-CP;PHR,Very High,High,63000,499000-1000000,Sometimes,Medium,Low,"Managing the recruitment, development, and wellbeing of an organization's employees."
